NUMBER,TILE_ID,RA,DEC,MAG_AUTO_56,sglc_prob_star
1440,2520,260.4424543077594,65.54161513828673,22.432812,0.0
1445,2520,260.89284488641545,65.538136263534,18.567026,1.0
1446,2520,260.38370954184916,65.5398864397797,18.884226,1.0
1447,2520,261.14057901457363,65.54091398978117,22.380165,0.0
1453,2520,260.597929594152,65.54205340255398,20.497423,1.0
1454,2520,260.666046294621,65.54113643574695,20.906376,0.0
1457,2520,260.4000153615116,65.53861484011273,18.5359,1.0
1458,2520,260.44209991441284,65.53734876671523,18.557512,1.0
1464,2520,260.6797421095609,65.5419978759445,20.820118,1.0
1467,2520,260.5469585231196,65.54238673243019,22.41901,0.0
1479,2520,260.83364973120445,65.5413116451177,20.271927,0.0
1506,2520,260.1992867039469,65.54239295731651,21.79377,0.0
1507,2520,260.7860378410459,65.54305655825739,22.031443,0.0
1511,2520,261.0516680886153,65.54223241407578,21.909105,0.0
1512,2520,260.128408914602,65.54243952798795,21.423403,1.0
1514,2520,260.34647926897776,65.54310484431792,21.496498,0.0
1515,2520,260.93871754352125,65.53804653967936,17.32296,1.0
1517,2520,261.13760144313994,65.54249605847762,22.094587,0.0
1519,2520,260.7421602487001,65.53974375870649,18.215057,1.0
1521,2520,260.1575977952275,65.54160117515664,19.111267,1.0
1523,2520,260.388852584631,65.5428288120418,21.16701,0.0
1530,2520,260.3838356338293,65.54339086773167,21.909197,0.0
1531,2520,260.3918408951554,65.54343696655967,22.278309,0.0
1539,2520,260.2769913752979,65.5419501015605,20.86845,0.0
1542,2520,260.99768931098424,65.54337364571654,22.104519,1.0
1550,2520,260.7703678480303,65.54398075511988,21.230022,1.0
1553,2520,260.2997928111946,65.54301000724317,20.682434,0.0
1563,2520,260.61940869869227,65.5443212731157,21.530634,0.0
1564,2520,260.87023681023896,65.54075936160453,17.618546,1.0
1579,2520,260.3084548326507,65.53966897319181,20.15113,0.0
1597,2520,260.29239032995315,65.54423336199847,20.712196,0.0
1604,2520,260.5427599864482,65.54427184280097,20.758749,1.0
1607,2520,260.9585870855291,65.54442223547325,21.688137,0.0
1609,2520,260.25154589819806,65.54485854755634,20.982475,1.0
1614,2520,260.35714941011696,65.54520446547635,22.294827,0.0
1615,2520,260.96702351403763,65.54495624081453,22.228733,0.0
1635,2520,260.1576822008668,65.54516670051594,21.668608,0.987
1639,2520,260.58956681196696,65.5427966224942,19.462011,0.0
1641,2520,260.2210523709956,65.53376511897653,18.2307,1.0
1651,2520,260.8026267246801,65.54595903847235,21.96587,1.0
1652,2520,260.3054840689429,65.5458777136926,21.315435,1.0
1655,2520,260.0402188980649,65.54521099708008,22.169971,0.0
1656,2520,260.09724764322027,65.54521345565456,21.621859,0.0
1658,2520,260.4685852548821,65.54604599276063,20.496157,1.0
1662,2520,260.8679243878432,65.54562603986422,19.921085,1.0
1671,2520,260.04643100135434,65.54342668854531,18.336914,1.0
1674,2520,260.1758882685149,65.5415460437141,16.64331,1.0
1676,2520,260.1169877606844,65.54606612986935,21.983051,0.0
1680,2520,260.49448125977113,65.54487516793175,18.881306,1.0
1686,2520,260.601047918375,65.54629211196325,21.210655,0.0
1694,2520,260.47323754702,65.5471658770834,22.280445,0.0
1705,2520,260.6030959035913,65.54727623907256,22.372818,0.0
1713,2520,260.4929416643933,65.54761675085953,21.714222,1.0
1720,2520,260.99383139366034,65.54638088450872,19.424911,1.0
1736,2520,260.86842584532917,65.54752076181714,20.154974,1.0
1744,2520,260.06668987458835,65.54577894594719,21.347975,0.0
1745,2520,260.3002624572928,65.5465361461844,19.422977,1.0
1747,2520,260.48419087528936,65.54844284520152,22.00575,0.0
1753,2520,260.65268342719605,65.54856810207788,20.954948,1.0
