TILE_ID,NUMBER,RA,DEC,OBJID_MoonObs,RA_MoonObs,DEC_MoonObs,separation_arcsec,MAG_AUTO_56,sglc_prob_star,Z
2520,14236,260.51933914570367,65.82756128305063,7406,260.51934857,65.82756386,0.01670544479344027,20.180716,0.0,1.2331652995971425
2520,17708,260.2784527864456,65.87316686114991,1325,260.27845753,65.87317116,0.01697723450651251,20.585064,1.0,0.2222310601436303
2520,12931,260.7283581134591,65.80175510996519,2689,260.72834676,65.80175674,0.01775139105928561,20.845219,0.0,1.3329384318248585
2520,11797,260.96494732474906,65.7786366831158,8154,260.96495047,65.77863185,0.018008670465812456,20.724796,0.0,0.4902314241064989
2520,8441,260.75710243540294,65.71416582335338,515,260.75710603,65.71416102,0.018092614632916185,22.433428,0.0,0.437943003176881
2520,13255,260.63594728607984,65.80936590708323,8626,260.63595855,65.80936386,0.018177282380451017,21.75024,0.0,0.9050466396454474
2520,18264,260.4317195436035,65.85976024088754,3837,260.43172861,65.85976386,0.01865289068739128,20.032053,0.0,0.4802062907806319
2520,23517,260.52720197567714,65.9690438065061,8274,260.52718873,65.96904386,0.01941949615288554,21.799694,0.0,0.6496583547223028
2520,15297,260.75380670029045,65.9351011083365,5309,260.75381721,65.93509754,0.020075938815911316,22.417347,0.0,1.175755012914672
2520,19983,260.6170873316019,65.89902702805216,5498,260.61709865,65.89902386,0.0201721454395146,22.487688,0.936,1.4652995569537313
2520,12012,260.6930266817025,65.7844483742734,1399,260.69301853,65.78444386,0.02022362325804165,21.236588,0.0,0.2186302255746601
2520,22999,260.7033359741111,65.98109941807624,4085,260.70333874,65.98109386,0.020415424014959174,21.96597,0.0,0.7275609155743082
2520,9819,260.3727248070623,65.73928297922785,3873,260.37273848,65.73928386,0.0204720744326082,21.716707,0.0,0.5134302841598429
2520,17427,260.735852729347,65.87541240077891,2080,260.73583863,65.87541386,0.021400543194143338,20.448763,0.0,1.4482023893177272
2520,14422,260.7725388111294,65.83255829778344,9374,260.77254858,65.83255386,0.021506586114410548,22.046223,1.0,0.5280394662891569
2520,11965,260.76150169551926,65.7835579795036,9778,260.76149852,65.78356386,0.021682902800717288,21.299252,0.0,0.3015032113127758
2520,15330,260.9313410991033,65.93207040239886,5783,260.93132869,65.93207386,0.022064628929661004,20.084862,0.0,0.8924790608455903
2520,10200,260.7493508479932,65.74649854771764,6918,260.74935848,65.74650386,0.022206130195369485,22.027332,0.0,0.8455318986563324
2520,23586,260.5238585372862,65.96801016302106,1455,260.52385873,65.96800386,0.022692634757063786,20.729122,0.0,0.2160305755850782
2520,7400,260.69056163684843,65.68131766492445,5994,260.69054841,65.68131386,0.023919533578188688,17.352264,0.0,1.297860869816463
2520,18211,260.66151467165423,65.86108522784193,346,260.66149861,65.86108386,0.024153592136796933,22.15628,0.0,0.6178696522756756
2520,7883,260.52944073809846,65.70161781923721,7309,260.52944843,65.70162386,0.024551065821100747,20.974022,0.0,1.2417879180553812
2520,16157,260.4666792448242,65.9142994246557,730,260.46666867,65.91429386,0.02535123926286341,21.868134,0.0,1.3787438865945114
2520,15535,260.3995139494225,65.92835336663777,1222,260.3995096,65.92834637,0.02598495539639658,21.714567,1.0,1.1319479926298148
2520,9747,260.6061771108035,65.73840021705203,7883,260.60616847,65.73839386,0.026212949150387153,21.825863,0.0,0.715829237246586
2520,12551,260.3384630033077,65.794980825477,8997,260.33846854,65.79497386,0.026373788712748734,21.11929,0.0,0.3327583432147511
2520,16602,260.4146643188183,65.90435418428471,3859,260.41465785,65.90434734,0.026410101671461857,21.273487,0.0,1.1049831182513683
2520,15509,260.49510060628637,65.92879365271885,1102,260.49511869,65.92879386,0.02656348724748729,21.92802,0.0,0.4310626896219569
2520,16415,260.989678087543,65.90910677137953,9354,260.98966049,65.90910474,0.026873186445961143,22.10595,0.0,1.0715703751894885
2520,17855,260.76613166937716,65.86806120094029,4404,260.76613862,65.86805386,0.02833833333340601,22.127743,0.0,0.0971602965955101
2520,10860,260.42008303550045,65.75989900135502,5490,260.4200985,65.75990386,0.02878150271604837,22.40361,0.0,0.5375977131886519
2520,15519,260.4233946606879,65.98940233936227,3858,260.4234115,65.98939815,0.028912463214471735,22.120874,0.0,1.3808936276936097
2520,14552,260.9650535757993,65.83462585043705,5047,260.96505548,65.83463386,0.028970665147408307,21.827526,0.998,0.3707676865160378
2520,18355,260.5434386791669,65.8572437380563,7915,260.54345861,65.85724386,0.029350269704836028,20.406883,0.0,0.5332240019825703
2520,10675,260.6617921165338,65.75597163848525,3850,260.66179849,65.75596386,0.029545020793708982,22.314756,1.0,1.4066033438047418
2520,12252,260.793769717391,65.78875732658885,7044,260.79378853,65.78875386,0.03044924155773708,21.86369,0.0,1.185545288319415
